solution_name;vendor_name;vendor_URL;vendor_description
Smart Charging Systems;ChargePoint;https://www.chargepoint.com/?srsltid=AfmBOooRmtByLHPlgqvr1wVRcByBG4CnJBBh0JErap-HVZB8ZawcYSVC;ChargePoint operates one of the world’s largest EV charging networks, offering integrated hardware and software solutions for drivers and fleet operators.
Smart Charging Systems;Shell Recharge Solutions;https://www.shell.co.uk/electric-vehicle-charging.html;Shell Recharge Solutions provides comprehensive EV charging infrastructure and services for both public and home installations.
Plug & Charge Technology (ISO 15118);Hubject;https://www.hubject.com/;Hubject delivers digital e-mobility services that enable interoperability across global EV charging networks.
Advanced Telematics and Fleet Management;Geotab;https://www.geotab.com/;Geotab offers advanced telematics and fleet management solutions to optimize vehicle performance and safety through data analytics.
Advanced Telematics and Fleet Management;Samsara;https://www.samsara.com/;Samsara provides IoT-based fleet management and industrial monitoring solutions with real-time data, sensor integration, and analytics.
Advanced Telematics and Fleet Management;Driivz;https://driivz.com/solutions/ev-fleets/;Driivz delivers an end-to-end software platform for managing and optimizing EV fleet charging operations.
Vehicle-to-Grid (V2G) Integration;Nuvve;https://nuvve.com/;Nuvve specializes in vehicle-to-grid (V2G) technology that enables bidirectional energy flow between EVs and the power grid.
Vehicle-to-Grid (V2G) Integration;Fermata;https://fermataenergy.com/;Fermata Energy integrates smart energy storage with EV charging solutions to enhance grid stability and renewable energy use.
Plug & Charge Technology (ISO 15118);Emobi;https://www.emobi.ai/;Emobi uses AI and machine learning to optimize electric vehicle charging operations and grid integration.
Mobile Charging Services;Courial;https://www.courial.com/cvs;Courial offers charging management solutions designed to streamline EV fleet charging infrastructure and operations.
Mobile Charging Services;Hopcharge;https://hopcharge.com/;Hopcharge provides on-demand mobile EV charging services, bringing the charger directly to the driver’s location.
Smart Charging Systems;Gireve;https://www.gireve.com/;Gireve develops digital platforms that enable seamless payment and roaming services across multiple EV charging networks.
Battery Swapping Stations;Nio;https://www.nio.com/nio-power;Nio Power is part of Nio’s ecosystem, delivering innovative battery swapping and charging solutions for its smart electric vehicles.
Battery Swapping Stations;Ample;https://ample.com/;Ample is revolutionizing EV charging with its modular battery swapping technology that significantly reduces downtime.
Battery Swapping Stations;Sun Mobility;https://www.sunmobility.com/;Sun Mobility offers scalable energy and mobility solutions, including battery swapping and charging infrastructure for EVs.
Dynamic Wireless Charging;Electreon;https://electreon.com/;Electreon pioneers dynamic wireless charging technology that enables EVs to charge in-motion via electrified roadways.
Dynamic Wireless Charging;ENRX;https://www.enrx.com/en/Induction-Products/Inductive-power-transfer/Electric-roadway;ENRX provides inductive power transfer solutions focused on wireless charging for electric vehicles.
Dynamic Wireless Charging;InductEV;https://www.inductev.com/;InductEV develops advanced wireless charging systems that simplify the EV charging process without plug connections.
Smart Grid Integration;WeaveGrid;https://www.weavegrid.com/;WeaveGrid uses software solutions to optimize grid load management by smartly scheduling EV charging based on grid needs.
Smart Grid Integration;IoTecha;https://www.iotecha.com/;IoTecha integrates IoT solutions for smart cities and transportation systems, enhancing connectivity and operational insights.
Smart Grid Integration;ev.energy;https://www.ev.energy/en-us;ev.energy offers smart charging software that helps EV owners and fleet operators optimize charging times and reduce costs.
Predictive Maintenance Platforms;PTC;https://www.ptc.com/en/products/thingworx;PTC’s ThingWorx platform delivers IoT and augmented reality solutions to accelerate digital transformation in industrial settings.
Predictive Maintenance Platforms;IBM;https://www.ibm.com/products/maximo;IBM Maximo is an enterprise asset management solution that leverages AI and IoT to predict maintenance needs and optimize operations.
