city_name;city_type;city_description
Port Moresby ;TropicalSparsePoor;Port Moresby, the capital of Papua New Guinea, experiences a tropical savanna climate with a distinct wet and dry season. The city receives approximately 1,000 mm of annual rainfall, with temperatures ranging between 23°C and 31°C throughout the year. With a population of around 400,000 residents, its economy is primarily driven by the public sector, mining, and tourism industries. Estimated median annual income: ~$6,000 USD.
Phnom Penh ;TropicalDensePoor;Phnom Penh, the capital of Cambodia, features a tropical wet and dry climate with temperatures ranging from 22°C to 35°C and an annual rainfall of about 1,400 mm (mostly during the monsoon season from May to October). Home to over 2 million people, its economy is centered around garment manufacturing, trade, and tourism. Estimated median annual income: ~$3,000 USD.
Dhaka ;TropicalSuburbanPoor;Dhaka, the capital of Bangladesh, has a tropical monsoon climate with temperatures between 19°C and 34°C and annual rainfall averaging around 2,000 mm, primarily during the monsoon season. With a metropolitan population exceeding 21 million, its economy is heavily reliant on textiles, garments, and trade. Estimated median annual income: ~$2,500 USD.
Suva ;TropicalSparseMiddle;Suva, the capital of Fiji, experiences a tropical rainforest climate with consistent rainfall (about 3,000 mm annually) and temperatures ranging from 22°C to 28°C. It has a population of approximately 93,970 (as per the 2017 census) and an economy driven by government services, education, and tourism. Estimated median annual income: ~$8,000 USD.
Kuala Lumpur ;TropicalDenseMiddle;Kuala Lumpur, the capital of Malaysia, features a tropical rainforest climate with abundant rainfall (approximately 2,400 mm annually) and temperatures between 23°C and 33°C. The city proper has around 1.8 million residents, while the greater metropolitan area houses over 7 million. Its diverse economy includes finance, insurance, real estate, and media. Estimated median annual income: ~$12,000 USD.
Darwin ;TropicalSparseRich;Darwin, the capital of Australia's Northern Territory, has a tropical savanna climate with temperatures ranging from 19°C in July to 33°C in November, and an annual rainfall of about 1,700 mm (mostly during the wet season from November to April). With a population of around 150,000, its economy is driven by tourism, defense, and natural resources. Estimated median annual income: ~AUD 60,000 (≈$45,000 USD).
Brisbane ;TropicalDenseRich;Brisbane, the capital of Queensland, Australia, enjoys a humid subtropical climate with warm summers and mild winters. Temperatures range from 10°C in July to 30°C in January, with annual rainfall of about 1,200 mm. Home to approximately 2.5 million people, its economy is based on finance, manufacturing, and education. Estimated median annual income: ~AUD 65,000 (≈$48,000 USD).
Hong Kong ;TropicalSuburbanRich;Hong Kong features a humid subtropical climate with hot, humid summers (up to 32°C) and mild winters (around 14°C), and receives about 2,400 mm of annual rainfall. With a population of approximately 7.5 million, its economy is a global financial hub focused on finance, trade, and tourism. Estimated median annual income: ~HKD 240,000 (≈$31,000 USD).
Nouakchott ;DrySparsePoor;Nouakchott, the capital of Mauritania, experiences a hot desert climate with very little rainfall (around 100 mm annually) and temperatures ranging from 16°C to 38°C. It has a population of roughly 1.2 million, and its economy relies on fishing, trade, and agriculture. Estimated median annual income: ~$2,000 USD.
Khartoum ;DryDensePoor;Khartoum, the capital of Sudan, features a hot desert climate with extreme temperatures ranging from 15°C to 43°C and minimal rainfall (around 120 mm annually). With a population of approximately 5 million, its economy is based on trade, agriculture, and petroleum. Estimated median annual income: ~$3,000 USD.
