city_type;AI Chatbots and Virtual Assistants for Passenger Support;AI Optimization for Central Heating;AI Predictive Heat Pump Control;AI for Traffic and Energy Management;AI-Driven Retrofit Advisory Tools;AI-Enhanced Smart Shades & Dynamic Facades;AI-Powered Cargo Optimization Software;AI-Powered Demand Prediction;AI-Powered Route Planning for Cyclists;AI-Powered Transit Demand Prediction;AI-Powered Virtual Assistants;AR for EV Maintenance and Training;Advanced Telematics and Fleet Management;Augmented Reality (AR) for Pedestrian & Bike Safety;Automated Biofuel Quality Testing Systems;Automated Fault Detection and Diagnostics (AFDD);Automated Load Balancing Systems;Automated Ventilation & Night Purge Systems;Automated Workflow & Integration Tools;Autonomous Bike Lane Monitoring;Autonomous HVAC Optimization AI;Autonomous Ride-Sharing Vehicles;Autonomous Shuttles for Last-Mile Connectivity;Backhaul Optimization Tools;Battery Swapping Stations;Bike-Sharing Platforms;Bike-to-Work Digital Subsidies;Central Chiller Plant Optimization;Cloud-Based Collaboration Tools;Connected Bike Helmets & Safety Gear;Crowdsourced Walking & Biking Safety Reports;Cybersecurity & VPN Solutions;Data-Driven Air Sealing & Insulation;Digital Freight Auctions;Digital Loyalty Programs for Public Transit;Digital Twin & AI Retrofit Planning;Digital Wellness & Mental Health Platforms;Dynamic Load Matching Platforms;Dynamic Wireless Charging;E-Bike Charging Stations;E-Bike Integration with Public Transit;E-Bike Subscription Services;Electric Bike Fleet Management Software;Energy Monitoring & Tenant Feedback Apps;Geofencing for Ride-Sharing Efficiency;Grid-Interactive Thermal Networks;Home AI Energy Management Systems (HEMS);Hydrogen Fuel Cell Fleet Management Software;Hydrogen Refueling Station Mapping Apps;Hydrogen and Biofuel Refueling Network Expansion Planning;Incentive-Based Ride-Sharing Systems;Incentive-Based Walking & Cycling Apps;Integrated Freight Management Systems;Integrated Payment Systems;Intelligent Boiler/Furnace Controllers;IoT-Based Building Management Systems;Last-Mile Delivery Optimization;Light Truck Sharing Platforms;Micromobility Hubs;Mobile Charging Services;Mobile Ticketing and Contactless Payments;Mobility-as-a-Service (MaaS) Platforms;Motorized Smart Blinds/Shades;On-Demand Public Transportation;Open Data and API Integration for Transit;Personalized Mobility Recommendations;Personalized Travel Recommendation Apps;Plug & Charge Technology (ISO 15118);Predictive Maintenance & Diagnostics;Predictive Maintenance Platforms;Project Management Software;Real-Time Emissions Monitoring for Alternative Fuel Vehicles;Real-Time Transit Information Systems;Remote Desktop Solutions;Shared Micromobility Services;Smart Bike Locks & Anti-Theft Tech;Smart Biofuel Blending Optimization;Smart Ceiling Fans with Climate Sensors;Smart Charging Systems;Smart Grid Integration;Smart Hydrogen Storage & Distribution Management;Smart Learning Thermostats;Smart Maintenance Systems for Light Trucks;Smart Parking Solutions;Smart Pedestrian Crosswalks;Smart Radiator Retrofit Systems;Smart Route Optimization Tools;Smart Traffic Lights for Cyclists & Pedestrians;Smart Ventilation & Dehumidification;Smart Zoning and Room-by-Room Control;Time Tracking and Productivity Monitoring;Vehicle Retrofitting Cost Estimation Tools;Vehicle-to-Grid (V2G) Integration;Virtual Coworking Spaces;Virtual Meeting Platforms;Walkability & Cycling Score Apps;Wearable Fitness & Activity Trackers
ContinentalSuburbanMiddle;;;;3;;;;7;;;;;;;;;;;;;;16;;;13;5;;;20;;;;;;;12;;;;21;11;;;;19;;;14;;;10;;;24;;;;;17;;;4;;6;;;;;;18;;;23;;15;;;;1;9;;;;22;;;8;;;;;;2;;;25;
PolarSparseRich;;18;12;3;;;;14;;;;;;;;8;;;;;24;13;;;7;;;9;;;;20;;;;22;;;;;;;;23;21;;10;6;16;;;;;;;11;;;;;;;;;;;;;;4;;;;15;;;;;5;1;;19;17;;;;;;25;;;;2;;;;
ContinentalSuburbanPoor;;;;3;;;;14;;;;;;;;;;;;;;;20;;4;11;;;;;;;;;;15;;;;12;23;;;21;13;;;22;;10;5;;;18;;16;;;17;;;8;;1;;;;;;6;;;24;;7;;;;2;9;;;;;;;19;;;;;;;;;25;
ContinentalSuburbanRich;;;;3;;;;7;;;;;;23;;;;;;;;4;;;5;11;;;18;;;;;;;20;;;;19;16;;;;12;;21;9;17;;;;;15;;;;;14;;;8;;;;;;;;10;;;25;;;;;;2;6;;24;;22;;;13;;;;;;1;;;;
ContinentalDenseMiddle;;;;1;;;;8;;;;;;;;;;;;;;11;;;5;10;;;;;;25;;;;18;;;;23;15;;;;13;;;17;;;;;;14;;;;;19;;;2;;7;;;;;;16;;;21;;9;;;;3;12;;;;20;22;;6;;;;;;4;;;24;
ContinentalDensePoor;;;;3;;;;11;;;;;;;;;;;;;;;23;;7;2;;;;;;;;;;12;;;;20;13;;;;10;;;;;14;6;;;19;;24;;;17;;;5;;1;;;;;;15;;;16;;8;;;;4;9;;;;25;21;;18;;;;;;;;;22;
ContinentalDenseRich;;;;1;;;;9;;;;;;21;;;;;;;;7;25;;6;12;;;;;;;;;;16;;;;23;22;;;;11;;;10;;20;;;;13;;;;;17;;;2;;;;;;;;15;;;19;;8;;;;4;3;;;;18;;;14;;;;;;5;;;24;
ContinentalSparseMiddle;;;;3;;;;10;;;;;;;;;;;;;;;21;;5;13;;;24;;;;;;;16;;;;20;14;;;;11;;;6;;15;;;;18;;25;;;8;;;12;;1;;;;;;7;;;19;;;;;;2;9;;;;23;;;17;;;;;;4;;;22;
ContinentalSparsePoor;;;;3;;;;8;;;;;;;;;;;;;;;19;;4;6;;;22;;;25;;;;16;;;;18;24;;;;14;;;;;11;9;;;12;;21;;;15;;;5;;1;;;;;;10;;;17;;;;;;2;7;;;;23;;;13;;;;;;;;;20;
ContinentalSparseRich;;;;4;;;;8;;;;;;;;;;;;;;6;23;;5;;;;25;;;;;;;14;;;;19;15;;;;16;;;7;;12;;;;20;;24;;;13;;;9;;11;;;;;;10;;;18;;;;;;3;1;;;;21;;;17;;;;;;2;;;22;
DrySuburbanMiddle;;;;3;;;;8;;;;;;;;;;;;;;;24;;6;12;;;25;;;;;;;13;;;;19;11;;;;14;;;9;;16;;;;20;;23;;;17;;;4;;5;;;;;;10;;;18;;;;;;1;7;;;;21;;;15;;;;;;2;;;22;
DrySuburbanPoor;;;;3;;;;9;;;;;;;;;;;;;;;23;;4;8;;;25;;;;;;;15;;;;19;12;;;;13;;;16;;11;5;;;20;;24;;;17;;;;;1;;;;;;10;;;18;;6;;;;2;7;;;;21;;;14;;;;;;;;;22;
DrySuburbanRich;;;;3;;;;9;;;;;;;;;;;;;;7;23;;5;;;;25;;;;;;;15;;;;18;13;;;;14;;;8;;12;;;;19;;24;;;16;;;4;;11;;;;;;10;;;17;;;;;;1;6;;;;21;;;20;;;;;;2;;;22;
DryDenseMiddle;;;;1;;;;9;;;;;;;;;;;;;;;24;;6;10;;;;;;;;;;15;;;;20;18;;;;13;;;8;;19;;;;21;;25;;;16;;;3;;7;;;;;;12;;;17;;11;;;;4;2;;;;22;;;14;;;;;;5;;;23;
DryDensePoor;;;;3;;;;9;;;;;;;;;;;;;;;23;;4;8;;;25;;;;;;;15;;;;19;12;;;;13;;;16;;11;5;;;20;;24;;;17;;;;;1;;;;;;10;;;18;;6;;;;2;7;;;;21;;;14;;;;;;;;;22;
DryDenseRich;;;;1;;;;9;;;;;;;;;;;;;;7;24;;6;10;;;;;;;;;;15;;;;20;18;;;;13;;;8;;19;;;;21;;25;;;16;;;3;;;;;;;;12;;;17;;11;;;;4;2;;;;22;;;14;;;;;;5;;;23;
DrySparseMiddle;;;;3;;;;9;;;;;;;;;;;;;;;23;;5;12;;;25;;;;;;;15;;;;19;13;;;;11;;;6;;14;;;;20;;24;;;17;;;10;;1;;;;;;7;;;18;;;;;;2;8;;;;21;;;16;;;;;;4;;;22;
DrySparsePoor;;;;3;;;;9;;;;;;;;;;;;;;;23;;4;8;;;25;;;;;;;15;;;;19;12;;;;13;;;16;;11;5;;;20;;24;;;17;;;;;1;;;;;;10;;;18;;6;;;;2;7;;;;21;;;14;;;;;;;;;22;
DrySparseRich;;;;4;;;;8;;;;;;;;;;;;;;6;23;;5;;;;25;;;;;;;14;;;;19;15;;;;16;;;7;;12;;;;20;;24;;;13;;;9;;11;;;;;;10;;;18;;;;;;3;1;;;;21;;;17;;;;;;2;;;22;
TemperateSuburbanMiddle;;;;4;;;;8;;;;;;;;;;;;;;23;24;;6;;;;25;;;;;;;11;;;;18;12;;;;13;;;10;;15;;;;19;;22;;;16;;;5;;7;;;;;;9;;;17;;;;;;2;1;;;;20;;;14;;;;;;3;;;21;
TemperateSuburbanPoor;;;;3;;;;9;;;;;;;;;;;;;;;23;;4;8;;;25;;;;;;;15;;;;19;12;;;;13;;;16;;11;5;;;20;;24;;;17;;;;;1;;;;;;10;;;18;;6;;;;2;7;;;;21;;;14;;;;;;;;;22;
TemperateSuburbanMiddle;;;;4;;;;8;;;;;;;;;;;;;;23;24;;6;;;;25;;;;;;;11;;;;18;12;;;;13;;;10;;15;;;;19;;22;;;16;;;5;;7;;;;;;9;;;17;;;;;;2;1;;;;20;;;14;;;;;;3;;;21;
